날짜,발전기ID,일일소비량(톤),누적소비량(톤),연료단가($/톤),일일비용($),연료품질(%)
2023-01-01,GEN_001,17716.124397065476,17716.124397065476,437.88404971422295,7757608.296227977,99.57966110114133
2023-01-01,GEN_002,17714.687960125673,17714.687960125673,427.7101814153214,7576752.401141162,95.96430962033789
2023-01-01,GEN_003,17690.67100680178,17690.67100680178,419.81114177272724,7426740.794091137,93.50191765565384
2023-01-01,GEN_004,17683.42100433436,17683.42100433436,427.42564030997937,7558347.545648552,95.33396667781685
2023-01-01,GEN_005,17696.53606497871,17696.53606497871,452.1032117613341,8000660.792027156,97.60259749469736
2023-01-02,GEN_001,17683.04814589199,35399.172542957465,439.222895739455,7766799.61213888,93.98467169558384
2023-01-02,GEN_002,17643.809488949097,35358.49744907477,469.3895700696813,8281820.150409181,94.16524570169638
2023-01-02,GEN_003,17767.5007522565,35458.17175905828,444.6098127731537,7899605.18290763,95.54104154549356
2023-01-02,GEN_004,17714.279483404767,35397.70048773913,432.9196691380959,7668860.012975353,100.0
2023-01-02,GEN_005,17676.063834183908,35372.59989916262,462.80423247550624,8180557.155967537,97.71785072539888
2023-01-03,GEN_001,17667.82369732614,53066.99624028361,450.2275853964028,7954541.602456494,96.05164825139009
2023-01-03,GEN_002,17711.378965800293,53069.87641487506,429.6241347612039,7609235.863609737,93.10988584391207
2023-01-03,GEN_003,17668.716361545972,53126.88812060425,449.96951340147615,7950383.703633541,95.24115975716163
2023-01-03,GEN_004,17648.367594562766,53046.06808230189,446.9484891864415,7887911.232996781,93.3271793313551
2023-01-03,GEN_005,17662.576397008248,53035.17629617087,453.13654868220004,8003558.909376006,96.13566568640564
2023-01-04,GEN_001,17673.261968351595,70740.2582086352,454.84240711203006,8038549.0152065335,94.29230196675388
2023-01-04,GEN_002,17643.26198954471,70713.13840441978,453.76083275027014,8005821.252806995,93.5447867916329
2023-01-04,GEN_003,17680.42044175904,70807.3085623633,463.14958232804645,8188679.342984954,93.04739637742131
2023-01-04,GEN_004,17663.05736533818,70709.12544764008,507.3184291553611,8960794.516664397,92.0285879890988
2023-01-04,GEN_005,17634.16473085355,70669.34102702442,464.65980889303114,8193887.613826641,96.22870476992716
2023-01-05,GEN_001,17706.358707633473,88446.61691626869,438.6009200103072,7766025.219200556,92.87364448599664
2023-01-05,GEN_002,17667.194228692315,88380.33263311209,451.65318362603074,7979444.519128321,93.88992021547064
2023-01-05,GEN_003,17654.280739075806,88461.5893014391,448.7362862059218,7922116.374489613,92.45820050996727
2023-01-05,GEN_004,17675.203863299837,88384.32931093991,450.2800295138073,7958791.317229211,94.64559681424169
2023-01-05,GEN_005,17689.20710035322,88358.54812737764,435.41703486297166,7702182.104712823,96.80960108589555
2023-01-06,GEN_001,17704.101093467543,106150.71800973623,482.591190971466,8543843.231775735,94.52583945002547
2023-01-06,GEN_002,17662.866914318205,106043.1995474303,484.5440484052113,8558437.041106205,97.78052632338822
2023-01-06,GEN_003,17668.923643246984,106130.51294468608,481.2482099763009,8503137.875520553,93.49778403290834
